user	item	timestamp	rating
6	665	-3-	3
6	666	-3-	4
6	797	-3-	1
6	417	-3-	3
6	676	-3-	1
6	892	-3-	3
6	682	-3-	1
6	683	-3-	2
6	428	-3-	1
6	685	-3-	4
6	814	-3-	3
6	175	-3-	4
6	176	-3-	4
6	434	-3-	3
6	179	-3-	4
6	820	-3-	1
6	437	-3-	3
6	1033	-3-	2
6	244	-3-	2
6	189	-3-	3
6	885	-3-	3
6	835	-3-	3
6	847	-3-	3
6	336	-3-	5
6	849	-3-	4
6	340	-3-	3
6	249	-3-	2
6	600	-3-	2
6	857	-3-	3
6	602	-3-	1
6	604	-3-	1
6	223	-3-	3
6	610	-3-	3
6	894	-3-	3
6	231	-3-	3
6	104	-3-	3
6	361	-3-	4
6	235	-3-	2
6	1005	-3-	3
6	238	-3-	2
6	232	-3-	3
6	622	-3-	2
6	243	-3-	3
6	884	-3-	4
6	1013	-3-	2
6	630	-3-	1
6	887	-3-	3
6	632	-3-	1
6	852	-3-	5
6	1018	-3-	5
6	1019	-3-	3
6	764	-3-	3
6	1021	-3-	3
6	1022	-3-	4
15	512	-3-	2
15	385	-3-	5
15	388	-3-	4
15	902	-3-	3
15	513	-3-	3
15	520	-3-	3
15	521	-3-	3
15	397	-3-	3
15	222	-3-	4
15	472	-3-	2
15	384	-3-	4
15	536	-3-	3
15	926	-3-	4
15	545	-3-	4
15	549	-3-	4
15	934	-3-	4
15	40	-3-	3
15	937	-3-	3
15	810	-3-	4
15	942	-3-	3
15	943	-3-	3
15	856	-3-	4
15	562	-3-	3
15	563	-3-	5
15	564	-3-	4
15	565	-3-	4
15	566	-3-	3
15	137	-3-	5
15	954	-3-	5
15	351	-3-	4
15	962	-3-	3
15	963	-3-	4
15	68	-3-	2
15	966	-3-	4
15	161	-3-	3
15	823	-3-	3
15	460	-3-	3
15	335	-3-	3
15	976	-3-	3
15	977	-3-	2
15	978	-3-	3
15	979	-3-	4
15	980	-3-	4
15	981	-3-	3
15	982	-3-	3
15	855	-3-	5
15	344	-3-	3
15	985	-3-	3
15	152	-3-	3
15	975	-3-	3
15	350	-3-	2
15	991	-3-	2
15	464	-3-	3
15	102	-3-	3
15	870	-3-	4
15	359	-3-	4
15	495	-3-	3
15	496	-3-	4
15	369	-3-	2
15	501	-3-	2
15	503	-3-	4
15	505	-3-	4
15	762	-3-	3
19	257	-3-	3
19	258	-3-	4
19	260	-3-	3
19	262	-3-	4
19	307	-3-	2
19	10	-3-	5
19	140	-3-	2
19	909	-3-	4
19	142	-3-	2
19	911	-3-	4
19	144	-3-	3
19	9	-3-	3
19	238	-3-	4
19	150	-3-	2
19	663	-3-	3
19	900	-3-	5
19	1011	-3-	5
19	672	-3-	5
19	421	-3-	4
19	678	-3-	5
19	434	-3-	3
19	626	-3-	5
19	306	-3-	3
19	947	-3-	3
19	310	-3-	2
19	905	-3-	5
19	952	-3-	5
19	953	-3-	5
19	6	-3-	5
19	835	-3-	4
19	908	-3-	4
19	910	-3-	1
19	356	-3-	3
19	506	-3-	3
19	229	-3-	2
19	609	-3-	5
19	611	-3-	4
19	228	-3-	2
19	166	-3-	5
19	230	-3-	5
19	1001	-3-	5
19	1002	-3-	3
19	1003	-3-	5
19	621	-3-	5
19	1006	-3-	3
19	623	-3-	5
19	1010	-3-	5
19	883	-3-	4
19	1013	-3-	3
19	886	-3-	5
19	1016	-3-	3
19	122	-3-	3
19	251	-3-	5
19	165	-3-	3
10	64	-3-	2
10	514	-3-	2
10	515	-3-	2
10	644	-3-	2
10	645	-3-	3
10	519	-3-	2
10	648	-3-	2
10	137	-3-	2
10	522	-3-	3
10	267	-3-	3
10	652	-3-	2
10	915	-3-	2
10	388	-3-	3
10	540	-3-	1
10	986	-3-	2
10	30	-3-	2
10	5	-3-	2
10	545	-3-	3
10	546	-3-	1
10	35	-3-	2
10	369	-3-	2
10	169	-3-	4
10	810	-3-	5
10	263	-3-	1
10	136	-3-	3
10	562	-3-	4
10	392	-3-	1
10	59	-3-	1
10	501	-3-	1
10	320	-3-	2
10	65	-3-	1
10	962	-3-	1
10	139	-3-	4
10	197	-3-	1
10	966	-3-	1
10	328	-3-	1
10	331	-3-	1
10	332	-3-	1
10	717	-3-	1
10	334	-3-	3
10	170	-3-	4
10	718	-3-	1
10	284	-3-	2
10	344	-3-	2
10	346	-3-	2
10	347	-3-	2
10	221	-3-	3
10	862	-3-	1
10	351	-3-	4
10	993	-3-	2
10	994	-3-	2
10	102	-3-	4
10	103	-3-	4
10	360	-3-	2
10	492	-3-	1
10	493	-3-	2
10	494	-3-	3
10	495	-3-	4
10	496	-3-	2
10	497	-3-	3
10	499	-3-	3
10	500	-3-	4
10	757	-3-	2
10	118	-3-	2
10	503	-3-	2
10	504	-3-	3
10	505	-3-	2
10	200	-3-	3
10	426	-3-	2
10	126	-3-	1
1	192	-3-	4
1	770	-3-	4
1	387	-3-	4
1	772	-3-	3
1	773	-3-	3
1	729	-3-	4
1	343	-3-	3
1	77	-3-	4
1	759	-3-	4
1	401	-3-	4
1	402	-3-	4
1	707	-3-	3
1	405	-3-	4
1	345	-3-	4
1	202	-3-	4
1	74	-3-	4
1	197	-3-	3
1	419	-3-	4
1	198	-3-	4
1	167	-3-	4
1	426	-3-	4
1	427	-3-	4
1	172	-3-	4
1	558	-3-	4
1	176	-3-	4
1	199	-3-	4
1	696	-3-	4
1	825	-3-	4
1	570	-3-	4
1	59	-3-	4
1	60	-3-	4
1	61	-3-	4
1	958	-3-	4
1	64	-3-	4
1	193	-3-	4
1	194	-3-	4
1	195	-3-	4
1	196	-3-	4
1	569	-3-	3
1	710	-3-	3
1	583	-3-	4
1	584	-3-	4
1	586	-3-	4
1	75	-3-	4
1	716	-3-	4
1	845	-3-	4
1	719	-3-	4
1	720	-3-	4
1	721	-3-	4
1	722	-3-	4
1	83	-3-	4
1	724	-3-	4
1	85	-3-	4
1	726	-3-	4
1	87	-3-	4
1	728	-3-	4
1	857	-3-	4
1	730	-3-	4
1	731	-3-	4
1	732	-3-	4
1	733	-3-	4
1	734	-3-	4
1	96	-3-	4
1	993	-3-	4
1	354	-3-	4
1	571	-3-	4
1	996	-3-	4
1	997	-3-	4
1	871	-3-	4
1	872	-3-	4
1	466	-3-	4
1	711	-3-	3
1	104	-3-	4
1	756	-3-	4
1	375	-3-	4
1	121	-3-	4
1	893	-3-	4
1	766	-3-	4
9	1024	-3-	3
9	3	-3-	3
9	1033	-3-	2
9	785	-3-	3
9	914	-3-	1
9	789	-3-	4
9	366	-3-	3
9	667	-3-	4
9	156	-3-	3
9	670	-3-	3
9	672	-3-	3
9	624	-3-	1
9	805	-3-	3
9	679	-3-	3
9	681	-3-	3
9	938	-3-	1
9	555	-3-	1
9	556	-3-	1
9	882	-3-	1
9	818	-3-	3
9	798	-3-	3
9	628	-3-	1
9	317	-3-	2
9	821	-3-	4
9	352	-3-	3
9	684	-3-	1
9	289	-3-	3
9	842	-3-	3
9	843	-3-	4
9	337	-3-	1
9	596	-3-	1
9	342	-3-	3
9	625	-3-	2
9	602	-3-	3
9	220	-3-	2
9	606	-3-	2
9	608	-3-	3
9	610	-3-	3
9	612	-3-	4
9	613	-3-	4
9	614	-3-	3
9	1020	-3-	3
9	235	-3-	4
9	620	-3-	3
9	237	-3-	4
9	622	-3-	4
9	1007	-3-	3
9	240	-3-	2
9	881	-3-	2
9	242	-3-	3
9	116	-3-	1
9	629	-3-	2
9	1014	-3-	1
9	632	-3-	3
9	251	-3-	4
9	892	-3-	2
9	682	-3-	2
9	1023	-3-	3
11	1029	-3-	5
11	646	-3-	5
11	397	-3-	4
11	398	-3-	3
11	143	-3-	4
11	536	-3-	2
11	539	-3-	2
11	541	-3-	3
11	5	-3-	4
11	544	-3-	3
11	545	-3-	3
11	290	-3-	5
11	549	-3-	2
11	169	-3-	5
11	940	-3-	4
11	685	-3-	4
11	302	-3-	2
11	902	-3-	5
11	823	-3-	4
11	315	-3-	3
11	319	-3-	3
11	322	-3-	4
11	67	-3-	4
11	68	-3-	4
11	458	-3-	5
11	459	-3-	5
11	460	-3-	5
11	464	-3-	5
11	466	-3-	5
11	467	-3-	5
11	341	-3-	5
11	598	-3-	2
11	346	-3-	3
11	863	-3-	3
11	226	-3-	4
11	101	-3-	4
11	358	-3-	4
11	338	-3-	3
11	372	-3-	3
11	759	-3-	3
11	760	-3-	5
11	121	-3-	4
11	762	-3-	5
11	763	-3-	3
11	102	-3-	4
11	639	-3-	5
7	512	-3-	4
7	513	-3-	5
7	518	-3-	4
7	136	-3-	3
7	137	-3-	4
7	523	-3-	3
7	397	-3-	4
7	398	-3-	4
7	536	-3-	5
7	152	-3-	4
7	161	-3-	2
7	290	-3-	3
7	902	-3-	4
7	169	-3-	4
7	685	-3-	2
7	561	-3-	3
7	823	-3-	3
7	117	-3-	5
7	319	-3-	4
7	322	-3-	4
7	66	-3-	3
7	966	-3-	4
7	464	-3-	4
7	467	-3-	3
7	472	-3-	3
7	473	-3-	2
7	988	-3-	4
7	989	-3-	5
7	863	-3-	4
7	101	-3-	4
7	102	-3-	4
7	496	-3-	3
7	497	-3-	4
7	499	-3-	5
7	501	-3-	4
7	505	-3-	3
7	511	-3-	4
7	639	-3-	5
3	258	-3-	3
3	259	-3-	2
3	260	-3-	3
3	1029	-3-	3
3	6	-3-	3
3	503	-3-	2
3	521	-3-	3
3	10	-3-	1
3	523	-3-	2
3	911	-3-	1
3	786	-3-	2
3	787	-3-	2
3	790	-3-	1
3	663	-3-	3
3	4	-3-	1
3	282	-3-	1
3	284	-3-	3
3	947	-3-	2
3	645	-3-	2
3	801	-3-	2
3	802	-3-	2
